City_ID,City,Country,Current Description,Max Temp,Humidity,Cloudiness,Wind Speed,Lat,Lng,Hotel Name
3,Hilo,US,clear sky,80.33,70,0,9.22,19.7297,-155.09,Hilo Hawaiian Hotel
4,Lompoc,US,clear sky,77.14,44,0,5.75,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
7,Sao Filipe,CV,overcast clouds,77.41,48,100,18.99,14.8961,-24.4956,Hotel Xaguate
11,Atuona,PF,light rain,77.61,77,15,12.41,-9.8,-139.0333,Villa Enata
17,Cravo Norte,CO,overcast clouds,83.16,48,100,5.64,6.3017,-70.2041,Hotel Potosí Los Mirtos
19,Vaini,TO,few clouds,87.96,79,20,10.36,-21.2,-175.2,Keleti Beach Resort
20,Avarua,CK,broken clouds,82.45,69,75,2.3,-21.2078,-159.775,Paradise Inn
21,Rikitea,PF,clear sky,78.96,71,0,16.06,-23.1203,-134.9692,People ThankYou
29,New Norfolk,AU,overcast clouds,81.66,26,100,6.87,-42.7826,147.0587,The Shingles Riverside Cottages
31,Luwuk,ID,overcast clouds,81.43,78,100,2.39,-0.9516,122.7875,Hotel Santika Luwuk
32,Kaeo,NZ,clear sky,77.32,64,5,14.63,-35.1,173.7833,Bushido Lodge
36,Cabo San Lucas,MX,scattered clouds,76.3,60,44,6.08,22.8909,-109.9124,Hotel Tesoro Los Cabos
46,Ugoofaaru,MV,overcast clouds,81.75,70,100,6.06,5.6667,73.0,Ungoofaaru Inn
48,Alice Springs,AU,clear sky,85.55,20,0,11.5,-23.7,133.8833,Desert Palms Alice Springs
54,Maragogi,BR,clear sky,79.48,82,6,9.64,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
55,Hobart,AU,broken clouds,82.02,49,75,19.57,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
56,Ahuimanu,US,few clouds,82.11,58,20,10.36,21.4447,-157.8378,Paradise Bay Resort
58,Kapaa,US,broken clouds,79.48,68,75,10.36,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
59,Hithadhoo,MV,scattered clouds,81.23,70,46,9.82,-0.6,73.0833,Scoop Guest House
68,Vao,NC,broken clouds,81.05,76,80,4.47,-22.6667,167.4833,Hotel Kou-Bugny
69,Kahului,US,few clouds,80.96,64,20,16.11,20.8947,-156.47,Maui Seaside Hotel
71,Pangkalanbuun,ID,overcast clouds,78.03,82,98,1.86,-2.6833,111.6167,Grand Kecubung Hotel
75,Port Lincoln,AU,overcast clouds,78.75,39,100,8.66,-34.7333,135.8667,Port Lincoln Hotel
77,Pochutla,MX,few clouds,79.83,67,13,2.48,15.7432,-96.4661,Hotel Posada San Jose
81,Mount Gambier,AU,overcast clouds,84.11,28,100,12.66,-37.8333,140.7667,The Commodore
84,Yulara,AU,clear sky,89.44,17,0,5.75,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
85,Morant Bay,JM,clear sky,82.02,79,4,9.17,17.8815,-76.4093,Whispering Bamboo Cove Resort
87,Bonthe,SL,clear sky,75.74,92,5,2.95,7.5264,-12.505,Bonthe Holiday Village
92,Butaritari,KI,overcast clouds,82.94,69,100,13.78,3.0707,172.7902,Isles Sunset Lodge
93,Voh,NC,overcast clouds,85.68,68,99,5.91,-20.9667,164.7,Le gîte du Koniambo
94,Aba,NG,broken clouds,78.17,78,67,4.7,5.1066,7.3667,Mickeys Guest House
96,Bethlehem,BR,light rain,78.84,89,0,8.05,-1.4558,-48.5044,Mercure Belém Boulevard
105,Puerto Escondido,MX,clear sky,81.43,69,0,3.44,15.85,-97.0667,Aldea del Bazar Hotel and Spa
107,Saint-Philippe,RE,light rain,78.35,82,2,8.93,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
108,Imbituba,BR,clear sky,75.81,82,0,10.92,-28.24,-48.6703,Praia Hotel Imbituba
110,Makakilo City,US,overcast clouds,80.92,50,100,11.5,21.3469,-158.0858,Marriott's Ko Olina Beach Club
112,Georgetown,MY,few clouds,84.13,78,20,3.44,5.4112,100.3354,Cititel Penang
114,Neiafu,TO,scattered clouds,84.88,74,40,13.8,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
118,Thinadhoo,MV,overcast clouds,81.27,73,100,8.97,0.5333,72.9333,
119,Kavieng,PG,light rain,82.72,72,100,4.99,-2.5744,150.7967,Nusa Island Retreat
128,Pandan,PH,overcast clouds,78.46,84,93,16.49,14.0453,124.1694,Bonifacio Lodge
129,Lumphat,KH,scattered clouds,83.25,54,27,8.55,13.4878,106.9816,Lumphat Homestay
130,Belmonte,BR,broken clouds,79.3,83,81,4.12,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
131,Kalmunai,LK,overcast clouds,75.11,90,100,2.91,7.4167,81.8167,VS Villa
134,Fomboni,KM,moderate rain,80.8,80,91,12.57,-12.28,43.7425,Auberge les abou
135,Bantacan,PH,overcast clouds,83.82,69,95,4.14,7.604,126.1298,
137,Gamba,GA,light rain,77.05,90,100,4.09,-2.65,10.0,
139,Port Alfred,ZA,overcast clouds,76.42,94,98,15.23,-33.5906,26.891,The Halyards Hotel
142,Faanui,PF,moderate rain,80.65,73,91,10.58,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
150,Pundaguitan,PH,overcast clouds,80.62,77,100,15.79,6.3711,126.1689,Leonardo Family Beach House 1
155,Bo Rai,TH,scattered clouds,83.1,81,50,1.59,12.5728,102.5371,Baiboon Resort
162,Byron Bay,AU,overcast clouds,80.55,73,88,14.18,-28.65,153.6167,Backpackers Inn
163,Luganville,VU,overcast clouds,79.29,88,100,6.04,-15.5333,167.1667,The Espiritu Hotel
173,Puerto Leguizamo,CO,overcast clouds,78.57,71,100,0.27,-0.1934,-74.7819,la casona de juancho
184,Oistins,BB,scattered clouds,77.09,69,40,17.27,13.0667,-59.5333,Butterfly Beach Hotel
185,Carnarvon,AU,overcast clouds,89.67,55,100,6.91,-24.8667,113.6333,Hospitality Carnarvon
193,Todos Santos,MX,broken clouds,75.79,65,56,3.71,23.45,-110.2167,Hotel California Todos Santos
201,Bowen,AU,few clouds,84.42,58,21,20.45,-20.0167,148.2333,Castle Motor Lodge Motel
203,Hambantota,LK,broken clouds,75.54,100,75,2.3,6.1241,81.1185,Bungalow 63
207,Mahebourg,MU,broken clouds,79.09,94,75,8.05,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
218,Vila Velha,BR,moderate rain,75.15,95,75,2.3,-20.3297,-40.2925,Hotel Vitória Palace
220,Hobyo,SO,overcast clouds,75.9,74,100,13.13,5.3505,48.5268,Halane Hotel and Restaurent
232,Prado,BR,light rain,76.24,88,100,4.7,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
236,Nabire,ID,overcast clouds,80.01,86,99,2.24,-3.3667,135.4833,Hotel Nusantara Nabire
