City_ID,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country,Date
0,Ecija,37.5422,-5.0826,54.75,overcast clouds,86,95,3.42,ES,2022-02-13 01:41:24
1,Shellbrook,53.2168,-106.4011,-2.97,broken clouds,99,60,6.4,CA,2022-02-13 01:41:25
2,Ribeira Grande,38.5167,-28.7,61.36,overcast clouds,93,100,15.19,PT,2022-02-13 01:41:25
3,Hilo,19.7297,-155.09,80.33,clear sky,70,0,9.22,US,2022-02-13 01:36:49
4,Lompoc,34.6391,-120.4579,77.14,clear sky,44,0,5.75,US,2022-02-13 01:41:26
5,Quang Ngai,15.1167,108.8,74.28,overcast clouds,90,100,3.06,VN,2022-02-13 01:41:26
6,Qaanaaq,77.484,-69.3632,-19.05,clear sky,48,0,8.77,GL,2022-02-13 01:41:27
7,Sao Filipe,14.8961,-24.4956,77.41,overcast clouds,48,100,18.99,CV,2022-02-13 01:41:28
8,Tazovskiy,67.4667,78.7,-8.93,clear sky,90,7,15.52,RU,2022-02-13 01:41:28
9,Puerto Ayora,-0.7393,-90.3518,74.55,scattered clouds,94,42,1.01,EC,2022-02-13 01:41:29
10,Nadym,65.5333,72.5167,-12.03,clear sky,94,9,15.57,RU,2022-02-13 01:41:29
11,Atuona,-9.8,-139.0333,77.61,light rain,77,15,12.41,PF,2022-02-13 01:41:29
12,Dikson,73.5069,80.5464,-4.38,overcast clouds,88,100,24.72,RU,2022-02-13 01:41:30
13,Ushuaia,-54.8,-68.3,46.06,broken clouds,61,75,11.5,AR,2022-02-13 01:41:30
14,Upernavik,72.7868,-56.1549,-0.02,overcast clouds,90,100,35.3,GL,2022-02-13 01:41:31
15,Pombas,17.1503,-25.0201,69.58,overcast clouds,73,100,10.36,CV,2022-02-13 01:41:31
16,Albany,42.6001,-73.9662,32.31,overcast clouds,67,95,1.01,US,2022-02-13 01:37:38
17,Cravo Norte,6.3017,-70.2041,83.16,overcast clouds,48,100,5.64,CO,2022-02-13 01:41:32
18,Bluff,-46.6,168.3333,52.81,overcast clouds,76,100,16.24,NZ,2022-02-13 01:41:32
19,Vaini,-21.2,-175.2,87.96,few clouds,79,20,10.36,TO,2022-02-13 01:41:33
20,Avarua,-21.2078,-159.775,82.45,broken clouds,69,75,2.3,CK,2022-02-13 01:41:33
21,Rikitea,-23.1203,-134.9692,78.96,clear sky,71,0,16.06,PF,2022-02-13 01:41:33
22,Busselton,-33.65,115.3333,72.05,clear sky,44,0,8.75,AU,2022-02-13 01:41:34
23,Guerrero Negro,27.9769,-114.0611,67.8,overcast clouds,42,100,7.56,MX,2022-02-13 01:41:34
24,Ostrovnoy,68.0531,39.5131,12.27,overcast clouds,96,91,3.91,RU,2022-02-13 01:41:36
25,Bam,29.106,58.357,52.25,overcast clouds,61,91,7.63,IR,2022-02-13 01:41:36
26,Kruisfontein,-34.0033,24.7314,69.44,overcast clouds,93,100,7.99,ZA,2022-02-13 01:41:36
27,Provideniya,64.3833,-173.3,-5.12,clear sky,88,9,4.12,RU,2022-02-13 01:41:37
28,Waverly,42.7392,-84.6208,19.33,overcast clouds,66,100,6.91,US,2022-02-13 01:41:37
29,New Norfolk,-42.7826,147.0587,81.66,overcast clouds,26,100,6.87,AU,2022-02-13 01:41:38
30,Acari,-15.4311,-74.6158,74.28,broken clouds,72,74,2.89,PE,2022-02-13 01:41:38
31,Luwuk,-0.9516,122.7875,81.43,overcast clouds,78,100,2.39,ID,2022-02-13 01:41:39
32,Kaeo,-35.1,173.7833,77.32,clear sky,64,5,14.63,NZ,2022-02-13 01:41:39
33,Punta Arenas,-53.15,-70.9167,50.11,clear sky,71,0,6.91,CL,2022-02-13 01:41:40
34,Pyay,18.8167,95.2167,70.3,scattered clouds,39,25,9.19,MM,2022-02-13 01:41:40
35,Vila Franca Do Campo,37.7167,-25.4333,63.19,overcast clouds,88,100,12.48,PT,2022-02-13 01:41:41
36,Cabo San Lucas,22.8909,-109.9124,76.3,scattered clouds,60,44,6.08,MX,2022-02-13 01:40:19
37,Mandalgovi,45.7625,106.2708,-6.95,clear sky,80,5,7.4,MN,2022-02-13 01:41:41
38,Mwense,-10.3845,28.698,65.62,light rain,98,100,1.39,ZM,2022-02-13 01:41:42
39,Bredasdorp,-34.5322,20.0403,69.28,broken clouds,88,67,6.91,ZA,2022-02-13 01:41:42
40,Klaksvik,62.2266,-6.589,38.32,overcast clouds,97,100,28.16,FO,2022-02-13 01:41:43
41,Anadyr,64.75,177.4833,-21.5,clear sky,76,0,11.18,RU,2022-02-13 01:41:43
42,Ambilobe,-13.2,49.05,72.91,overcast clouds,95,86,2.53,MG,2022-02-13 01:41:44
43,Jamestown,42.097,-79.2353,23.09,overcast clouds,62,100,8.05,US,2022-02-13 01:41:44
44,Bilibino,68.0546,166.4372,-20.97,overcast clouds,97,99,2.17,RU,2022-02-13 01:41:44
45,Lindi,-10.0,39.7167,72.99,overcast clouds,97,100,2.95,TZ,2022-02-13 01:41:45
46,Ugoofaaru,5.6667,73.0,81.75,overcast clouds,70,100,6.06,MV,2022-02-13 01:42:46
47,Coquimbo,-29.9533,-71.3436,64.13,clear sky,88,0,8.05,CL,2022-02-13 01:42:46
48,Alice Springs,-23.7,133.8833,85.55,clear sky,20,0,11.5,AU,2022-02-13 01:37:59
49,Capoterra,39.1763,8.9718,48.54,scattered clouds,83,40,3.44,IT,2022-02-13 01:42:47
50,Abilene,32.4487,-99.7331,43.5,clear sky,32,0,4.61,US,2022-02-13 01:42:48
51,Yagoua,10.3411,15.2329,70.95,scattered clouds,19,27,7.34,CM,2022-02-13 01:42:48
52,Maxixe,-23.8597,35.3472,74.28,broken clouds,77,65,6.02,MZ,2022-02-13 01:42:49
53,Otjimbingwe,-22.35,16.1333,72.93,light rain,81,100,0.65,NA,2022-02-13 01:42:49
54,Maragogi,-9.0122,-35.2225,79.48,clear sky,82,6,9.64,BR,2022-02-13 01:42:50
55,Hobart,-42.8794,147.3294,82.02,broken clouds,49,75,19.57,AU,2022-02-13 01:40:17
56,Ahuimanu,21.4447,-157.8378,82.11,few clouds,58,20,10.36,US,2022-02-13 01:42:50
57,Calama,-22.4667,-68.9333,63.09,clear sky,25,0,17.27,CL,2022-02-13 01:42:51
58,Kapaa,22.0752,-159.319,79.48,broken clouds,68,75,10.36,US,2022-02-13 01:42:51
59,Hithadhoo,-0.6,73.0833,81.23,scattered clouds,70,46,9.82,MV,2022-02-13 01:42:51
60,Pevek,69.7008,170.3133,-18.85,overcast clouds,97,100,8.79,RU,2022-02-13 01:42:52
61,Bandarbeyla,9.4942,50.8122,73.69,overcast clouds,76,98,10.92,SO,2022-02-13 01:42:53
62,Abu Kamal,34.4506,40.9171,48.63,clear sky,55,0,9.26,SY,2022-02-13 01:42:54
63,Takab,36.4009,47.1133,18.25,clear sky,48,1,3.11,IR,2022-02-13 01:42:54
64,Zhangjiakou,40.81,114.8794,20.41,snow,91,100,10.76,CN,2022-02-13 01:42:54
65,Yellowknife,62.456,-114.3525,-10.59,broken clouds,83,75,10.36,CA,2022-02-13 01:42:55
66,Avera,33.194,-82.5271,60.67,overcast clouds,63,100,7.29,US,2022-02-13 01:42:55
67,Prince Rupert,54.3161,-130.3201,42.89,clear sky,75,0,4.61,CA,2022-02-13 01:40:06
68,Vao,-22.6667,167.4833,81.05,broken clouds,76,80,4.47,NC,2022-02-13 01:42:56
69,Kahului,20.8947,-156.47,80.96,few clouds,64,20,16.11,US,2022-02-13 01:42:56
70,Warrington,53.3925,-2.5802,48.85,overcast clouds,93,100,8.05,GB,2022-02-13 01:42:57
71,Pangkalanbuun,-2.6833,111.6167,78.03,overcast clouds,82,98,1.86,ID,2022-02-13 01:42:58
72,Seoul,37.5683,126.9778,42.4,broken clouds,36,75,4.61,KR,2022-02-13 01:40:17
73,Lebu,-37.6167,-73.65,57.81,overcast clouds,91,100,8.08,CL,2022-02-13 01:42:58
74,Yar-Sale,66.8333,70.8333,-9.96,overcast clouds,94,85,15.3,RU,2022-02-13 01:42:59
75,Port Lincoln,-34.7333,135.8667,78.75,overcast clouds,39,100,8.66,AU,2022-02-13 01:42:59
76,Pacific Grove,36.6177,-121.9166,72.75,scattered clouds,59,32,5.99,US,2022-02-13 01:43:00
77,Pochutla,15.7432,-96.4661,79.83,few clouds,67,13,2.48,MX,2022-02-13 01:43:01
78,Ketchikan,55.3422,-131.6461,42.78,overcast clouds,87,100,6.91,US,2022-02-13 01:43:01
79,Margate,51.3813,1.3862,45.3,overcast clouds,76,100,8.99,GB,2022-02-13 01:43:02
80,Mayo,38.8876,-76.5119,52.21,clear sky,55,0,9.22,US,2022-02-13 01:43:02
81,Mount Gambier,-37.8333,140.7667,84.11,overcast clouds,28,100,12.66,AU,2022-02-13 01:43:03
82,Pudozh,61.8099,36.5345,15.21,overcast clouds,98,98,3.31,RU,2022-02-13 01:43:03
83,Ponta Delgada,37.7333,-25.6667,63.5,broken clouds,88,75,18.41,PT,2022-02-13 01:43:03
84,Yulara,-25.2406,130.9889,89.44,clear sky,17,0,5.75,AU,2022-02-13 01:43:04
