City_ID,City,Country,Max Temp,Humidity,Cloudiness,Wind Speed,Lat,Lng,Hotel Name
1,Kisangani,CD,83.79,57,73,4.18,0.5167,25.2,Grand Ramela Hotel
6,Atuona,PF,78.17,76,79,17.74,-9.8,-139.0333,Villa Enata
10,Paciran,ID,83.05,75,87,10.09,-6.8767,112.3761,Tanjung Kodok Beach Resort
11,Vila Velha,BR,75.15,91,75,6.91,-20.3297,-40.2925,Hotel Vitória Palace
15,Iquitos,PE,75.24,100,75,0.0,-3.7481,-73.2472,Cortez Malaga Techy Caroly
18,Paidha,UG,77.76,29,100,4.16,2.4167,30.9855,OPIPAAF (OTHUMBA PITHUA PALWONGA )
20,Rikitea,PF,79.34,74,14,17.67,-23.1203,-134.9692,People ThankYou
23,Road Town,VG,75.0,78,13,23.26,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
32,Sibolga,ID,84.34,68,100,4.32,1.7427,98.7792,Hotel Syariah CN Darussalam
33,Kilindoni,TZ,81.7,75,100,10.92,-7.9139,39.6668,Bustani B&B
37,Dingle,PH,82.83,70,97,14.58,10.9995,122.6711,SEGAYA PROPERTY
43,Morant Bay,JM,78.42,81,12,8.88,17.8815,-76.4093,Whispering Bamboo Cove Resort
56,Butaritari,KI,82.11,79,21,18.12,3.0707,172.7902,Isles Sunset Lodge
64,Inhambane,MZ,82.06,55,5,7.49,-23.865,35.3833,Oceano
75,Atambua,ID,75.99,89,100,1.9,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
82,Bambous Virieux,MU,84.45,70,40,9.22,-20.3428,57.7575,Casa Tia Villa
84,Santiago Del Estero,AR,82.81,32,100,10.2,-27.7951,-64.2615,Apartamentos Castelli 90
85,Bathsheba,BB,75.81,83,75,23.02,13.2167,-59.5167,Atlantis Hotel
88,Port Moresby,PG,82.58,62,100,10.89,-9.4431,147.1797,Lamana Hotel (Port Moresby)
94,Buchanan,LR,78.3,88,8,0.78,5.8808,-10.0467,Kamaneahn Hotel Inc
95,Noumea,NC,82.99,99,100,18.34,-22.2763,166.4572,Hôtel Le Lagon
99,Fare,PF,81.68,72,2,16.35,-16.7,-151.0167,Maitai Lapita Village Huahine
100,Vaini,TO,75.36,100,75,11.5,-21.2,-175.2,Keleti Beach Resort
101,Thinadhoo,MV,81.34,70,41,4.68,0.5333,72.9333,
104,Avarua,CK,78.85,83,75,11.5,-21.2078,-159.775,Paradise Inn
107,Ahipara,NZ,75.58,91,81,9.89,-35.1667,173.1667,Ahipara Holiday Park
110,Namatanai,PG,81.88,79,100,5.55,-3.6667,152.4333,Seagulls Inn Namatani
114,Mbandaka,CD,80.24,41,100,4.63,0.0487,18.2603,Guest House Epervier
116,Takoradi,GH,78.58,90,24,4.27,4.8845,-1.7554,Raybow International Hotel
120,Tual,ID,83.28,66,100,2.04,-5.6667,132.75,Grand Vilia Hotel
123,Caxito,AO,77.58,51,93,3.83,-8.5785,13.6643,
128,Georgetown,MY,84.13,79,20,3.44,5.4112,100.3354,Cititel Penang
132,Cayenne,GF,77.09,89,75,4.0,4.9333,-52.3333,Hôtel Le Dronmi
