City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Leirvik,59.7798,5.5005,33.91,61,94,19.53,NO,2022-02-11 05:57:56
1,Mount Isa,-20.7333,139.5,101.97,18,0,8.05,AU,2022-02-11 05:57:57
2,Oriximina,-1.7656,-55.8661,72.95,96,100,2.62,BR,2022-02-11 05:57:57
3,Barrow,71.2906,-156.7887,-28.25,99,93,9.66,US,2022-02-11 05:57:20
4,Jumla,29.2747,82.1838,40.44,54,1,2.95,NP,2022-02-11 05:57:58
5,New Norfolk,-42.7826,147.0587,68.9,28,9,1.99,AU,2022-02-11 05:57:58
6,Geilo,60.5333,8.2076,7.25,90,12,9.95,NO,2022-02-11 05:57:58
7,Saint-Benoit,-21.038,55.7194,82.51,70,46,2.24,RE,2022-02-11 05:57:59
8,Tyazhinskiy,56.116,88.524,1.51,84,18,4.97,RU,2022-02-11 05:57:59
9,Kabakovo,54.5369,56.1517,19.69,86,100,8.95,RU,2022-02-11 05:58:00
10,Davila,18.4726,120.5763,84.18,68,41,15.9,PH,2022-02-11 05:58:00
11,Port Alfred,-33.5906,26.891,70.63,77,3,4.03,ZA,2022-02-11 05:58:00
12,Ushuaia,-54.8,-68.3,44.26,76,40,28.77,AR,2022-02-11 05:56:32
13,Garh Maharaja,30.8339,71.9053,69.28,24,0,1.21,PK,2022-02-11 05:58:01
14,Camacha,33.0833,-16.3333,59.76,94,40,6.91,PT,2022-02-11 05:58:02
15,Kahului,20.8947,-156.47,73.85,87,73,5.99,US,2022-02-11 05:58:02
16,Te Anau,-45.4167,167.7167,66.51,65,32,6.11,NZ,2022-02-11 05:58:02
17,Saskylakh,71.9167,114.0833,2.44,92,95,12.41,RU,2022-02-11 05:58:03
18,San Quintin,30.4833,-115.95,62.65,36,0,4.43,MX,2022-02-11 05:58:03
19,Kodiak,57.79,-152.4072,35.11,87,100,21.85,US,2022-02-11 05:58:04
20,Albany,42.6001,-73.9662,35.55,90,50,3.53,US,2022-02-11 05:58:04
21,Hobart,-42.8794,147.3294,69.26,54,20,19.57,AU,2022-02-11 05:55:48
22,East London,-33.0153,27.9116,68.94,83,75,8.05,ZA,2022-02-11 05:58:05
23,Rikitea,-23.1203,-134.9692,79.25,74,43,15.99,PF,2022-02-11 05:58:05
24,Busselton,-33.65,115.3333,99.05,40,1,13.8,AU,2022-02-11 05:58:05
25,Mataura,-46.1927,168.8643,60.48,62,22,6.8,NZ,2022-02-11 05:58:06
26,Yar-Sale,66.8333,70.8333,2.93,77,70,17.69,RU,2022-02-11 05:58:06
27,Blackfoot,43.1905,-112.345,38.55,97,100,6.58,US,2022-02-11 05:58:07
28,Thompson,55.7435,-97.8558,-25.44,68,0,11.5,CA,2022-02-11 05:57:38
29,Srednekolymsk,67.45,153.6833,-32.03,97,22,2.06,RU,2022-02-11 05:58:08
30,Carnarvon,-24.8667,113.6333,86.07,74,75,14.97,AU,2022-02-11 05:58:08
31,Martil,35.6166,-5.2752,57.27,93,100,5.75,MA,2022-02-11 05:58:08
32,Provideniya,64.3833,-173.3,-11.09,64,16,11.18,RU,2022-02-11 05:55:13
33,Kabare,-2.4683,28.8242,63.99,88,100,1.28,CD,2022-02-11 05:58:09
34,Garhakota,23.7667,79.15,69.94,27,0,6.73,IN,2022-02-11 05:58:09
35,Dukat,62.55,155.55,-24.0,78,73,3.15,RU,2022-02-11 05:58:10
36,Coihaique,-45.5752,-72.0662,44.55,57,0,2.3,CL,2022-02-11 05:58:10
37,Puerto Ayora,-0.7393,-90.3518,74.55,92,85,4.34,EC,2022-02-11 05:58:11
38,Linxi,39.7,118.4333,44.19,20,100,7.47,CN,2022-02-11 05:58:11
39,Dikson,73.5069,80.5464,6.69,93,100,26.06,RU,2022-02-11 05:54:22
40,Jamestown,42.097,-79.2353,28.04,86,100,6.91,US,2022-02-11 05:55:21
41,Cabo San Lucas,22.8909,-109.9124,68.5,69,89,3.83,MX,2022-02-11 05:53:48
42,Avarua,-21.2078,-159.775,78.85,83,14,9.22,CK,2022-02-11 05:58:12
43,Labuhan,-6.8844,112.2051,82.74,77,93,11.83,ID,2022-02-11 05:58:13
44,Laguna,38.421,-121.4238,62.42,79,0,1.01,US,2022-02-11 05:53:25
45,Melenki,55.3343,41.6295,26.22,93,100,9.62,RU,2022-02-11 05:58:14
46,Arraial Do Cabo,-22.9661,-42.0278,72.03,91,100,3.4,BR,2022-02-11 05:59:12
47,Nyimba,-14.5566,30.8149,70.57,86,100,2.62,ZM,2022-02-11 05:59:14
48,Vaini,-21.2,-175.2,82.56,89,40,9.22,TO,2022-02-11 05:59:15
49,Guanhaes,-18.775,-42.9325,65.46,100,100,2.44,BR,2022-02-11 05:59:15
50,Ribeira Grande,38.5167,-28.7,59.99,69,100,9.17,PT,2022-02-11 05:56:55
51,Husavik,66.0449,-17.3389,31.91,78,47,11.32,IS,2022-02-11 05:59:16
52,Chuy,-33.6971,-53.4616,68.56,86,0,8.75,UY,2022-02-11 05:59:16
53,Manta,-0.95,-80.7333,76.78,83,100,2.3,EC,2022-02-11 05:59:17
54,Coquimbo,-29.9533,-71.3436,64.13,94,100,3.44,CL,2022-02-11 05:59:17
55,Mayo,38.8876,-76.5119,43.75,66,100,3.44,US,2022-02-11 05:59:18
56,Kirkland Lake,48.1446,-80.0377,9.43,92,95,5.19,CA,2022-02-11 05:59:18
57,Upernavik,72.7868,-56.1549,-20.2,93,62,5.91,GL,2022-02-11 05:59:18
58,Raduzhnyy,62.0961,77.475,-3.51,88,62,5.77,RU,2022-02-11 05:59:19
59,Severo-Kurilsk,50.6789,156.125,27.52,78,91,3.58,RU,2022-02-11 05:59:19
60,Alenquer,-1.9417,-54.7383,73.74,97,95,2.91,BR,2022-02-11 05:59:20
61,Athabasca,54.7169,-113.2854,33.49,72,99,8.75,CA,2022-02-11 05:59:20
62,Kermen,42.5,26.25,44.02,100,0,4.61,BG,2022-02-11 05:59:21
63,Hithadhoo,-0.6,73.0833,81.12,68,100,4.14,MV,2022-02-11 05:59:21
64,Khatanga,71.9667,102.5,-0.76,83,12,14.38,RU,2022-02-11 05:59:22
65,Tigil,57.8,158.6667,-3.5,99,96,3.38,RU,2022-02-11 05:59:22
66,Vardo,70.3705,31.1107,19.6,81,90,10.6,NO,2022-02-11 05:59:23
67,Ahipara,-35.1667,173.1667,76.82,87,51,9.98,NZ,2022-02-11 05:59:23
68,Sindor,62.8629,51.8905,19.54,93,100,9.95,RU,2022-02-11 05:59:24
69,Saint George,37.1041,-113.5841,54.36,42,0,1.99,US,2022-02-11 05:59:24
70,Grindavik,63.8424,-22.4338,30.67,69,75,6.91,IS,2022-02-11 05:59:25
71,Atuona,-9.8,-139.0333,78.48,75,15,16.71,PF,2022-02-11 05:59:25
72,Faya,18.3851,42.4509,55.51,62,17,3.94,SA,2022-02-11 05:59:25
73,Hilo,19.7297,-155.09,70.25,93,20,1.92,US,2022-02-11 05:59:26
74,Punta Arenas,-53.15,-70.9167,46.51,61,75,5.75,CL,2022-02-11 05:59:26
75,Brownsville,25.9018,-97.4975,61.92,82,100,3.2,US,2022-02-11 05:54:39
76,Bambous Virieux,-20.3428,57.7575,82.65,74,75,5.75,MU,2022-02-11 05:59:27
77,Tautira,-17.7333,-149.15,82.42,72,38,13.22,PF,2022-02-11 05:59:27
78,Verkhnevilyuysk,63.4453,120.3167,-10.17,89,62,3.4,RU,2022-02-11 05:59:28
79,Cape Town,-33.9258,18.4232,68.11,79,0,8.05,ZA,2022-02-11 05:55:37
80,Vestmannaeyjar,63.4427,-20.2734,36.25,62,99,2.68,IS,2022-02-11 05:59:29
81,Suntar,62.1444,117.6319,-5.39,90,97,4.79,RU,2022-02-11 05:59:29
82,Castro,-24.7911,-50.0119,56.61,99,13,4.52,BR,2022-02-11 05:59:30
83,Pokosnoye,55.5258,101.0536,-5.4,85,60,2.95,RU,2022-02-11 05:59:30
84,Iqaluit,63.7506,-68.5145,1.13,70,100,4.61,CA,2022-02-11 05:59:31
85,Eureka,40.8021,-124.1637,54.79,74,0,4.0,US,2022-02-11 05:59:31
86,Klaksvik,62.2266,-6.589,36.52,66,94,24.63,FO,2022-02-11 05:59:31
87,Bengkulu,-3.8004,102.2655,83.19,65,100,6.58,ID,2022-02-11 05:59:32
88,Joshimath,30.5667,79.5667,49.35,26,0,1.79,IN,2022-02-11 05:59:32
89,Sutton,51.35,-0.2,36.18,92,5,5.06,GB,2022-02-11 05:58:06
90,Asyut,27.181,31.1837,50.86,57,4,5.88,EG,2022-02-11 06:00:33
91,Hualmay,-11.0964,-77.6139,69.84,82,100,5.66,PE,2022-02-11 06:00:35
92,Luderitz,-26.6481,15.1594,68.56,73,48,3.15,NA,2022-02-11 06:00:45
93,Bhadasar,28.2833,74.3167,68.92,24,0,6.17,IN,2022-02-11 06:00:46
94,Souillac,-20.5167,57.5167,82.36,73,35,6.73,MU,2022-02-11 06:00:47
95,Ueno,34.75,136.1333,54.9,42,4,11.56,JP,2022-02-11 06:00:49
96,Bluff,-46.6,168.3333,60.8,79,34,13.35,NZ,2022-02-11 06:00:49
97,Funadhoo,6.15,73.2667,81.36,76,38,10.18,MV,2022-02-11 06:00:50
98,Cayenne,4.9333,-52.3333,77.09,89,75,1.99,GF,2022-02-11 06:00:28
99,Hasaki,35.7333,140.8333,46.29,58,85,19.15,JP,2022-02-11 06:00:51
100,Rominimbang,7.5,124.3,79.48,67,96,2.62,PH,2022-02-11 06:00:53
101,Hay River,60.8156,-115.7999,-2.49,98,100,8.43,CA,2022-02-11 06:00:53
102,Namibe,-15.1961,12.1522,73.6,82,99,3.49,AO,2022-02-11 06:00:54
103,Punta Alta,-38.8759,-62.0736,65.39,52,100,17.4,AR,2022-02-11 06:00:54
104,Kamina,-8.7386,24.9906,66.61,90,100,2.82,CD,2022-02-11 06:00:56
105,Ust-Nera,64.5667,143.2,-26.32,98,55,2.98,RU,2022-02-11 06:00:57
106,Hermanus,-34.4187,19.2345,67.89,68,0,1.92,ZA,2022-02-11 06:00:57
107,Airai,-8.9266,125.4092,67.24,89,100,1.23,TL,2022-02-11 06:00:58
108,Yellowknife,62.456,-114.3525,-17.45,81,99,5.01,CA,2022-02-11 06:00:59
109,Sitka,57.0531,-135.33,27.81,79,95,4.68,US,2022-02-11 06:00:59
110,Kapaa,22.0752,-159.319,68.11,59,22,2.64,US,2022-02-11 06:00:59
111,Neyshabur,36.2133,58.7958,51.42,26,67,2.57,IR,2022-02-11 06:01:00
112,Aksu,41.1231,80.2644,34.47,24,0,0.63,CN,2022-02-11 06:00:27
113,Podgornoye,51.735,39.1496,30.42,86,0,6.71,RU,2022-02-11 06:01:01
114,Dodge City,37.7528,-100.0171,47.25,46,37,11.99,US,2022-02-11 06:01:01
115,Paragominas,-2.9667,-47.4833,71.69,98,100,1.5,BR,2022-02-11 06:01:02
116,Haines Junction,60.7522,-137.5108,-0.76,100,43,1.45,CA,2022-02-11 06:01:02
117,Vostok,46.4856,135.8833,21.4,84,100,2.64,RU,2022-02-11 06:01:03
118,Turukhansk,65.8167,87.9833,-6.93,83,12,1.77,RU,2022-02-11 06:01:03
119,Codrington,-38.2667,141.9667,65.43,52,81,16.8,AU,2022-02-11 06:01:04
120,Taoudenni,22.6783,-3.9836,55.31,38,3,12.8,ML,2022-02-11 06:01:04
121,Havre-Saint-Pierre,50.2334,-63.5986,32.36,93,100,8.05,CA,2022-02-11 06:01:05
122,Ostrovnoy,68.0531,39.5131,22.8,88,100,16.93,RU,2022-02-11 06:01:05
123,Saint-Philippe,-21.3585,55.7679,81.99,76,52,6.82,RE,2022-02-11 06:01:06
124,Gushikawa,26.3544,127.8686,68.63,52,15,6.8,JP,2022-02-11 06:01:06
125,Mahebourg,-20.4081,57.7,82.26,71,15,6.24,MU,2022-02-11 06:01:06
126,Bestobe,52.4994,73.0975,-5.42,96,65,9.73,KZ,2022-02-11 06:01:07
127,Prabumulih,-3.45,104.25,88.79,51,99,4.23,ID,2022-02-11 06:01:08
128,San Cristobal,7.7669,-72.225,64.51,92,73,2.82,VE,2022-02-11 06:01:08
129,Isangel,-19.55,169.2667,81.21,85,96,18.7,VU,2022-02-11 06:01:08
130,Ukiah,39.1502,-123.2078,60.37,70,0,2.62,US,2022-02-11 06:00:20
131,Najran,17.4924,44.1277,70.16,26,2,1.88,SA,2022-02-11 06:01:09
132,Clyde River,70.4692,-68.5914,-16.37,69,100,24.16,CA,2022-02-11 06:01:09
133,Caravelas,-17.7125,-39.2481,74.44,92,6,4.25,BR,2022-02-11 06:01:10
134,Porto Santo,33.072,-16.3415,62.51,94,40,6.91,PT,2022-02-11 06:02:10
135,Vung Tau,10.346,107.0843,82.81,68,96,13.89,VN,2022-02-11 06:02:11
136,San Ignacio,17.1561,-89.0714,66.7,98,63,2.19,BZ,2022-02-11 06:02:11
137,Chaoyang,41.5703,120.4586,32.5,27,14,9.78,CN,2022-02-11 06:02:12
138,Shache,38.4167,77.2406,41.29,29,100,4.03,CN,2022-02-11 06:02:12
139,Saint-Pierre,-21.3393,55.4781,82.08,74,75,5.75,RE,2022-02-11 06:00:40
140,Meulaboh,4.1363,96.1285,85.71,63,54,6.15,ID,2022-02-11 06:02:13
141,Dali,25.7,100.1833,54.79,49,40,9.75,CN,2022-02-11 06:02:13
142,Qandala,11.472,49.8728,75.45,48,18,7.05,SO,2022-02-11 06:02:14
143,Seymchan,62.8833,152.4333,-32.66,99,96,0.47,RU,2022-02-11 06:02:14
144,Lerik,38.7726,48.4128,31.53,99,100,4.63,AZ,2022-02-11 06:02:15
145,Nikolskoye,59.7035,30.7861,31.89,94,92,8.16,RU,2022-02-11 06:02:15
146,Uige,-7.6087,15.0613,66.47,81,63,1.79,AO,2022-02-11 06:02:16
147,Eyl,7.9803,49.8164,77.23,57,23,18.23,SO,2022-02-11 06:02:16
148,Rahuri,19.3833,74.65,76.19,28,34,9.91,IN,2022-02-11 06:02:17
149,Korla,41.7597,86.1469,33.24,34,11,2.28,CN,2022-02-11 06:02:17
150,Linxia,35.6003,103.2064,29.23,79,63,3.62,CN,2022-02-11 06:02:18
151,Vila Franca Do Campo,37.7167,-25.4333,57.2,72,96,2.91,PT,2022-02-11 06:02:18
152,Bulgan,48.8125,103.5347,-0.56,83,72,2.53,MN,2022-02-11 06:02:19
153,Tiksi,71.6872,128.8694,-12.23,93,100,12.46,RU,2022-02-11 06:02:19
154,Colares,38.7992,-9.4469,57.29,72,62,15.01,PT,2022-02-11 06:02:19
155,Bathsheba,13.2167,-59.5167,75.87,80,14,18.5,BB,2022-02-11 06:02:20
156,Butaritari,3.0707,172.7902,82.56,78,31,18.5,KI,2022-02-11 06:02:20
157,Voi,-3.3945,38.563,76.82,63,93,7.63,KE,2022-02-11 06:02:21
158,Half Moon Bay,37.4636,-122.4286,66.09,54,0,3.44,US,2022-02-11 06:00:53
159,Praia Da Vitoria,38.7333,-27.0667,57.76,88,100,4.97,PT,2022-02-11 06:02:21
160,Ancud,-41.8697,-73.8203,49.42,80,19,5.91,CL,2022-02-11 06:02:22
